"Invoice ID",Branch,"Unit price",Quantity,Total,Date,Time,"Cost of goods sold","gross margin percentage","gross income",Rating
636-48-8204,A,34.56,5,181.44,2/17/2019,11:15,172.8,4.761904762,8.64,9.9
549-59-1358,A,88.63,3,279.1845,3/2/2019,17:36,265.89,4.761904762,13.2945,6
227-03-5010,A,52.59,8,441.756,3/22/2019,19:20,420.72,4.761904762,21.036,8.5
649-29-6775,B,33.52,1,35.196,2/8/2019,15:31,33.52,4.761904762,1.676,6.7
189-17-4241,A,87.67,2,184.107,3/10/2019,12:17,175.34,4.761904762,8.767,7.7
145-94-9061,B,88.36,5,463.89,1/25/2019,19:48,441.8,4.761904762,22.09,9.6
848-62-7243,A,24.89,9,235.2105,3/15/2019,15:36,224.01,4.761904762,11.2005,7.4
871-79-8483,B,94.13,5,494.1825,2/25/2019,19:39,470.65,4.761904762,23.5325,4.8
149-71-6266,B,78.07,9,737.7615,1/28/2019,12:43,702.63,4.761904762,35.1315,4.5
640-49-2076,B,83.78,8,703.752,1/10/2019,14:49,670.24,4.761904762,33.512,5.1
595-11-5460,A,96.58,2,202.818,3/15/2019,10:12,193.16,4.761904762,9.658,5.1
183-56-6882,C,99.42,4,417.564,2/6/2019,10:42,397.68,4.761904762,19.884,7.5
232-16-2483,C,68.12,1,71.526,1/7/2019,12:28,68.12,4.761904762,3.406,6.8
129-29-8530,A,62.62,5,328.755,3/10/2019,19:15,313.1,4.761904762,15.655,7
272-65-1806,A,60.88,9,575.316,1/15/2019,17:17,547.92,4.761904762,27.396,4.7
333-73-7901,C,54.92,8,461.328,3/23/2019,13:24,439.36,4.761904762,21.968,7.6
777-82-7220,B,30.12,8,253.008,3/3/2019,13:01,240.96,4.761904762,12.048,7.7
280-35-5823,B,86.72,1,91.056,1/17/2019,18:45,86.72,4.761904762,4.336,7.9
554-53-8700,C,56.11,2,117.831,2/2/2019,10:11,112.22,4.761904762,5.611,6.3
354-25-5821,B,69.12,6,435.456,2/8/2019,13:03,414.72,4.761904762,20.736,5.6
228-96-1411,C,98.7,8,829.08,3/4/2019,20:39,789.6,4.761904762,39.48,7.6
617-15-4209,C,15.37,2,32.277,3/16/2019,19:47,30.74,4.761904762,1.537,7.2
132-32-9879,B,93.96,4,394.632,3/9/2019,18:00,375.84,4.761904762,18.792,9.5
370-41-7321,B,56.69,9,535.7205,2/27/2019,17:24,510.21,4.761904762,25.5105,8.4
727-46-3608,B,20.01,9,189.0945,2/6/2019,15:47,180.09,4.761904762,9.0045,4.1
669-54-1719,B,18.93,6,119.259,2/10/2019,12:45,113.58,4.761904762,5.679,8.1
574-22-5561,C,82.63,10,867.615,3/19/2019,17:08,826.3,4.761904762,41.315,7.9
326-78-5178,C,91.4,7,671.79,2/3/2019,10:19,639.8,4.761904762,31.99,9.5
162-48-8011,A,44.59,5,234.0975,2/10/2019,15:10,222.95,4.761904762,11.1475,8.5
616-24-2851,B,17.87,4,75.054,3/22/2019,14:42,71.48,4.761904762,3.574,6.5
778-71-5554,C,15.43,1,16.2015,1/25/2019,15:46,15.43,4.761904762,0.7715,6.1
242-55-6721,B,16.16,2,33.936,3/7/2019,11:49,32.32,4.761904762,1.616,6.5
399-46-5918,C,85.98,8,722.232,2/28/2019,19:01,687.84,4.761904762,34.392,8.2
106-35-6779,A,44.34,2,93.114,3/27/2019,11:26,88.68,4.761904762,4.434,5.8
635-40-6220,A,89.6,8,752.64,2/7/2019,11:28,716.8,4.761904762,35.84,6.6
817-48-8732,A,72.35,10,759.675,1/20/2019,15:55,723.5,4.761904762,36.175,5.4
120-06-4233,C,30.61,6,192.843,3/12/2019,20:36,183.66,4.761904762,9.183,9.3
285-68-5083,C,24.74,3,77.931,2/15/2019,17:47,74.22,4.761904762,3.711,10
803-83-5989,C,55.73,6,351.099,2/24/2019,10:55,334.38,4.761904762,16.719,7
347-34-2234,B,55.07,9,520.4115,2/3/2019,13:40,495.63,4.761904762,24.7815,10
199-75-8169,A,15.81,10,166.005,3/6/2019,12:27,158.1,4.761904762,7.905,8.6
853-23-2453,B,75.74,4,318.108,2/14/2019,14:35,302.96,4.761904762,15.148,7.6
877-22-3308,A,15.87,10,166.635,3/13/2019,16:40,158.7,4.761904762,7.935,5.8
838-78-4295,C,33.47,2,70.287,2/10/2019,15:43,66.94,4.761904762,3.347,6.7
109-28-2512,B,97.61,6,614.943,1/7/2019,15:01,585.66,4.761904762,29.283,9.9
232-11-3025,A,78.77,10,827.085,1/24/2019,10:04,787.7,4.761904762,39.385,6.4
382-03-4532,A,18.33,1,19.2465,2/2/2019,18:50,18.33,4.761904762,0.9165,4.3
393-65-2792,C,89.48,10,939.54,1/6/2019,12:46,894.8,4.761904762,44.74,9.6
796-12-2025,C,62.12,10,652.26,2/11/2019,16:19,621.2,4.761904762,31.06,5.9
510-95-6347,B,48.52,3,152.838,3/5/2019,18:17,145.56,4.761904762,7.278,4
841-35-6630,C,75.91,6,478.233,3/9/2019,18:21,455.46,4.761904762,22.773,8.7
287-21-9091,A,74.67,9,705.6315,1/22/2019,10:55,672.03,4.761904762,33.6015,9.4
732-94-0499,C,41.65,10,437.325,1/13/2019,17:04,416.5,4.761904762,20.825,5.4
263-10-3913,C,49.04,9,463.428,1/9/2019,14:20,441.36,4.761904762,22.068,8.6
381-20-0914,A,20.01,9,189.0945,1/12/2019,15:48,180.09,4.761904762,9.0045,5.7
829-49-1914,C,78.31,10,822.255,3/5/2019,16:24,783.1,4.761904762,39.155,6.6
756-01-7507,C,20.38,5,106.995,1/22/2019,18:56,101.9,4.761904762,5.095,6
870-72-4431,C,99.19,6,624.897,1/21/2019,14:42,595.14,4.761904762,29.757,5.5
847-38-7188,B,96.68,3,304.542,1/26/2019,19:56,290.04,4.761904762,14.502,6.4
480-63-2856,C,19.25,8,161.7,1/23/2019,18:37,154,4.761904762,7.7,6.6
787-56-0757,C,80.36,4,337.512,2/23/2019,18:45,321.44,4.761904762,16.072,8.3
360-39-5055,C,48.91,5,256.7775,3/9/2019,10:17,244.55,4.761904762,12.2275,6.6
730-50-9884,C,83.06,7,610.491,3/5/2019,14:31,581.42,4.761904762,29.071,4
362-58-8315,C,76.52,5,401.73,3/25/2019,10:23,382.6,4.761904762,19.13,9.9
633-44-8566,A,49.38,7,362.943,3/27/2019,20:35,345.66,4.761904762,17.283,7.3
504-35-8843,A,42.47,1,44.5935,1/2/2019,16:57,42.47,4.761904762,2.1235,5.7
318-68-5053,B,76.99,6,485.037,2/27/2019,17:55,461.94,4.761904762,23.097,6.1
565-80-5980,C,47.38,4,198.996,1/23/2019,10:25,189.52,4.761904762,9.476,7.1
225-32-0908,C,44.86,10,471.03,1/26/2019,19:54,448.6,4.761904762,22.43,8.2
873-51-0671,A,21.98,7,161.553,1/10/2019,16:42,153.86,4.761904762,7.693,5.1
152-08-9985,B,64.36,9,608.202,3/12/2019,12:09,579.24,4.761904762,28.962,8.6
512-91-0811,C,89.75,1,94.2375,2/6/2019,20:05,89.75,4.761904762,4.4875,6.6
594-34-4444,A,97.16,1,102.018,3/8/2019,20:38,97.16,4.761904762,4.858,7.2
766-85-7061,B,87.87,10,922.635,3/29/2019,10:25,878.7,4.761904762,43.935,5.1
871-39-9221,C,12.45,6,78.435,2/9/2019,13:11,74.7,4.761904762,3.735,4.1
865-92-6136,A,52.75,3,166.1625,3/23/2019,10:16,158.25,4.761904762,7.9125,9.3
733-01-9107,B,82.7,6,521.01,3/5/2019,18:14,496.2,4.761904762,24.81,7.4
163-56-7055,C,48.71,1,51.1455,3/26/2019,19:20,48.71,4.761904762,2.4355,4.1
189-98-2939,C,78.55,9,742.2975,3/1/2019,13:22,706.95,4.761904762,35.3475,7.2
551-21-3069,C,23.07,9,218.0115,2/1/2019,11:27,207.63,4.761904762,10.3815,4.9
212-62-1842,A,58.26,6,367.038,3/28/2019,16:44,349.56,4.761904762,17.478,9.9
716-39-1409,B,30.35,7,223.0725,3/19/2019,18:19,212.45,4.761904762,10.6225,8
704-48-3927,A,88.67,10,931.035,1/12/2019,14:50,886.7,4.761904762,44.335,7.3
628-34-3388,C,27.38,6,172.494,1/5/2019,20:54,164.28,4.761904762,8.214,7.9
630-74-5166,A,62.13,6,391.419,3/22/2019,20:19,372.78,4.761904762,18.639,7.4
588-01-7461,C,33.98,9,321.111,3/24/2019,10:43,305.82,4.761904762,15.291,4.2
861-77-0145,C,81.97,10,860.685,3/3/2019,14:30,819.7,4.761904762,40.985,9.2
479-26-8945,B,16.49,2,34.629,2/5/2019,11:32,32.98,4.761904762,1.649,4.6
210-67-5886,C,98.21,3,309.3615,2/5/2019,10:41,294.63,4.761904762,14.7315,7.8
227-78-1148,B,72.84,7,535.374,2/15/2019,12:44,509.88,4.761904762,25.494,8.4
645-44-1170,A,58.07,9,548.7615,1/19/2019,20:07,522.63,4.761904762,26.1315,4.3
237-01-6122,C,80.79,9,763.4655,2/1/2019,20:31,727.11,4.761904762,36.3555,9.5
225-98-1496,C,27.02,3,85.113,3/2/2019,13:01,81.06,4.761904762,4.053,7.1
291-32-1427,B,21.94,5,115.185,3/5/2019,12:29,109.7,4.761904762,5.485,5.3
659-65-8956,B,51.36,1,53.928,1/16/2019,15:26,51.36,4.761904762,2.568,5.2
642-32-2990,A,10.96,10,115.08,2/2/2019,20:48,109.6,4.761904762,5.48,6
378-24-2715,B,53.44,2,112.224,1/20/2019,20:38,106.88,4.761904762,5.344,4.1
638-60-7125,A,99.56,8,836.304,2/14/2019,17:03,796.48,4.761904762,39.824,5.2
659-36-1684,C,57.12,7,419.832,1/12/2019,12:02,399.84,4.761904762,19.992,6.5
219-22-9386,B,99.96,9,944.622,3/9/2019,17:26,899.64,4.761904762,44.982,4.2
336-78-2147,C,63.91,8,536.844,3/13/2019,19:52,511.28,4.761904762,25.564,4.6
268-27-6179,B,56.47,8,474.348,3/9/2019,14:57,451.76,4.761904762,22.588,7.3
668-90-8900,A,93.69,7,688.6215,3/10/2019,18:44,655.83,4.761904762,32.7915,4.5
870-54-3162,A,32.25,5,169.3125,1/27/2019,13:26,161.25,4.761904762,8.0625,9
189-08-9157,C,31.73,9,299.8485,1/8/2019,16:17,285.57,4.761904762,14.2785,5.9
663-86-9076,C,68.54,8,575.736,1/8/2019,15:57,548.32,4.761904762,27.416,8.5
549-84-7482,B,90.28,9,853.146,2/8/2019,11:15,812.52,4.761904762,40.626,7.2
191-10-6171,B,39.62,7,291.207,1/25/2019,13:18,277.34,4.761904762,13.867,7.5
802-70-5316,A,92.13,6,580.419,3/6/2019,20:34,552.78,4.761904762,27.639,8.3
695-51-0018,B,34.84,4,146.328,2/10/2019,18:36,139.36,4.761904762,6.968,7.4
590-83-4591,B,87.45,6,550.935,2/17/2019,14:40,524.7,4.761904762,26.235,8.8
483-71-1164,C,81.3,6,512.19,3/8/2019,16:43,487.8,4.761904762,24.39,5.3
597-78-7908,C,90.22,3,284.193,2/18/2019,19:39,270.66,4.761904762,13.533,6.2
700-81-1757,A,26.31,5,138.1275,1/18/2019,20:59,131.55,4.761904762,6.5775,8.8
354-39-5160,A,34.42,6,216.846,2/18/2019,15:39,206.52,4.761904762,10.326,9.8
241-72-9525,B,51.91,10,545.055,2/16/2019,12:21,519.1,4.761904762,25.955,8.2
575-30-8091,A,72.5,8,609,3/16/2019,19:25,580,4.761904762,29,9.2
731-81-9469,C,89.8,10,942.9,1/23/2019,13:00,898,4.761904762,44.9,5.4
280-17-4359,C,90.5,10,950.25,1/25/2019,13:48,905,4.761904762,45.25,8.1
338-65-2210,C,68.6,10,720.3,2/5/2019,19:57,686,4.761904762,34.3,9.1
488-25-4221,C,30.41,1,31.9305,2/22/2019,10:36,30.41,4.761904762,1.5205,8.4
239-10-7476,A,77.95,6,491.085,1/21/2019,16:37,467.7,4.761904762,23.385,8
458-41-1477,C,46.26,6,291.438,3/8/2019,17:11,277.56,4.761904762,13.878,9.5
685-64-1609,A,30.14,10,316.47,2/10/2019,12:28,301.4,4.761904762,15.07,9.2
568-90-5112,C,66.14,4,277.788,3/19/2019,12:46,264.56,4.761904762,13.228,5.6
262-47-2794,B,71.86,8,603.624,3/6/2019,15:07,574.88,4.761904762,28.744,6.2
238-49-0436,A,32.46,8,272.664,3/27/2019,13:48,259.68,4.761904762,12.984,4.9
608-96-3517,B,91.54,4,384.468,3/23/2019,19:20,366.16,4.761904762,18.308,4.8
584-86-7256,C,34.56,7,254.016,3/11/2019,16:07,241.92,4.761904762,12.096,7.3
746-94-0204,A,83.24,9,786.618,1/29/2019,11:56,749.16,4.761904762,37.458,7.4
214-17-6927,C,16.48,6,103.824,2/7/2019,18:23,98.88,4.761904762,4.944,9.9
400-89-4171,C,80.97,8,680.148,1/28/2019,13:05,647.76,4.761904762,32.388,9.3
782-95-9291,A,92.29,5,484.5225,2/20/2019,15:55,461.45,4.761904762,23.0725,9
279-74-2924,B,72.17,1,75.7785,1/4/2019,19:40,72.17,4.761904762,3.6085,6.1
307-85-2293,B,50.28,5,263.97,3/7/2019,13:58,251.4,4.761904762,12.57,9.7
743-04-1105,B,97.22,9,918.729,3/30/2019,14:43,874.98,4.761904762,43.749,6
423-57-2993,B,93.39,6,588.357,3/27/2019,19:18,560.34,4.761904762,28.017,10
894-41-5205,C,43.18,8,362.712,1/19/2019,19:39,345.44,4.761904762,17.272,8.3
275-28-0149,A,63.69,1,66.8745,2/25/2019,16:21,63.69,4.761904762,3.1845,6
101-17-6199,A,45.79,7,336.5565,3/13/2019,19:44,320.53,4.761904762,16.0265,7
423-80-0988,C,76.4,2,160.44,1/30/2019,19:42,152.8,4.761904762,7.64,6.5
548-46-9322,B,39.9,10,418.95,2/20/2019,15:24,399,4.761904762,19.95,5.9
505-02-0892,B,42.57,8,357.588,2/25/2019,14:12,340.56,4.761904762,17.028,5.6
234-65-2137,C,95.58,10,1003.59,1/16/2019,13:32,955.8,4.761904762,47.79,4.8
687-47-8271,A,98.98,10,1039.29,2/8/2019,16:20,989.8,4.761904762,49.49,8.7
796-32-9050,A,51.28,6,323.064,1/19/2019,16:31,307.68,4.761904762,15.384,6.5
105-31-1824,A,69.52,7,510.972,2/1/2019,15:10,486.64,4.761904762,24.332,8.5
249-42-3782,A,70.01,5,367.5525,1/3/2019,11:36,350.05,4.761904762,17.5025,5.5
316-55-4634,B,80.05,5,420.2625,1/26/2019,12:45,400.25,4.761904762,20.0125,9.4
733-33-4967,C,20.85,8,175.14,3/3/2019,19:17,166.8,4.761904762,8.34,6.3
608-27-6295,B,52.89,6,333.207,1/19/2019,17:34,317.34,4.761904762,15.867,9.8
414-12-7047,B,19.79,8,166.236,1/18/2019,12:04,158.32,4.761904762,7.916,8.7
827-26-2100,A,33.84,9,319.788,3/21/2019,16:21,304.56,4.761904762,15.228,8.8
175-54-2529,A,22.17,8,186.228,3/3/2019,17:01,177.36,4.761904762,8.868,9.6
139-52-2867,C,22.51,7,165.4485,2/13/2019,10:50,157.57,4.761904762,7.8785,4.8
407-63-8975,A,73.88,6,465.444,3/23/2019,19:16,443.28,4.761904762,22.164,4.4
342-65-4817,C,86.8,3,273.42,1/28/2019,16:47,260.4,4.761904762,13.02,9.9
130-98-8941,C,64.26,7,472.311,2/9/2019,10:00,449.82,4.761904762,22.491,5.7
434-83-9547,C,38.47,8,323.148,1/23/2019,11:51,307.76,4.761904762,15.388,7.7
851-28-6367,A,15.5,10,162.75,3/23/2019,10:55,155,4.761904762,7.75,8
824-88-3614,C,34.31,8,288.204,1/25/2019,15:00,274.48,4.761904762,13.724,5.7
586-25-0848,A,12.34,7,90.699,3/4/2019,11:19,86.38,4.761904762,4.319,6.7
895-66-0685,B,18.08,3,56.952,3/5/2019,19:46,54.24,4.761904762,2.712,8
305-14-0245,B,94.49,8,793.716,3/3/2019,19:00,755.92,4.761904762,37.796,7.5
732-04-5373,B,46.47,4,195.174,2/8/2019,10:53,185.88,4.761904762,9.294,7
400-60-7251,A,74.07,1,77.7735,2/10/2019,12:50,74.07,4.761904762,3.7035,9.9
593-65-1552,C,69.81,4,293.202,1/28/2019,20:50,279.24,4.761904762,13.962,5.9
284-34-9626,B,77.04,3,242.676,2/11/2019,10:39,231.12,4.761904762,11.556,7.2
437-58-8131,B,73.52,2,154.392,1/15/2019,13:41,147.04,4.761904762,7.352,4.6
286-43-6208,C,87.8,9,829.71,3/16/2019,19:08,790.2,4.761904762,39.51,9.2
641-43-2399,B,25.55,4,107.31,1/26/2019,20:23,102.2,4.761904762,5.11,5.7
831-07-6050,A,32.71,5,171.7275,3/19/2019,11:30,163.55,4.761904762,8.1775,9.9
556-86-3144,C,74.29,1,78.0045,1/13/2019,19:30,74.29,4.761904762,3.7145,5
848-24-9445,C,43.7,2,91.77,3/26/2019,18:03,87.4,4.761904762,4.37,4.9
856-22-8149,A,25.29,1,26.5545,3/23/2019,10:13,25.29,4.761904762,1.2645,6.1
699-01-4164,C,41.5,4,174.3,3/12/2019,19:58,166,4.761904762,8.3,8.2
420-11-4919,C,71.39,5,374.7975,2/17/2019,19:57,356.95,4.761904762,17.8475,5.5
606-80-4905,C,19.15,6,120.645,1/29/2019,10:01,114.9,4.761904762,5.745,6.8
542-41-0513,B,57.49,4,241.458,3/15/2019,11:57,229.96,4.761904762,11.498,6.6
426-39-2418,C,61.41,7,451.3635,1/14/2019,10:02,429.87,4.761904762,21.4935,9.8
875-46-5808,B,25.9,10,271.95,2/6/2019,14:51,259,4.761904762,12.95,8.7
394-43-4238,B,17.77,5,93.2925,2/15/2019,12:42,88.85,4.761904762,4.4425,5.4
749-24-1565,A,23.03,9,217.6335,1/3/2019,12:02,207.27,4.761904762,10.3635,7.9
672-51-8681,C,66.65,9,629.8425,1/4/2019,18:19,599.85,4.761904762,29.9925,9.7
263-87-5680,C,28.53,10,299.565,3/18/2019,17:38,285.3,4.761904762,14.265,7.8
573-58-9734,B,30.37,3,95.6655,3/28/2019,13:41,91.11,4.761904762,4.5555,5.1
817-69-8206,B,99.73,9,942.4485,3/2/2019,19:42,897.57,4.761904762,44.8785,6.5
888-02-0338,A,26.23,9,247.8735,1/25/2019,20:24,236.07,4.761904762,11.8035,5.9
677-11-0152,C,93.26,9,881.307,1/16/2019,18:08,839.34,4.761904762,41.967,8.8
142-63-6033,B,92.36,5,484.89,3/20/2019,19:17,461.8,4.761904762,23.09,4.9
656-16-1063,B,46.42,3,146.223,1/4/2019,13:24,139.26,4.761904762,6.963,4.4
891-58-8335,B,29.61,7,217.6335,3/11/2019,15:53,207.27,4.761904762,10.3635,6.5
802-43-8934,A,18.28,1,19.194,3/22/2019,15:05,18.28,4.761904762,0.914,8.3
560-30-5617,B,24.77,5,130.0425,3/24/2019,18:27,123.85,4.761904762,6.1925,8.5
319-74-2561,A,94.64,3,298.116,2/21/2019,16:55,283.92,4.761904762,14.196,5.5
549-03-9315,B,94.87,8,796.908,2/12/2019,12:58,758.96,4.761904762,37.948,8.7
790-29-1172,B,57.34,3,180.621,3/10/2019,18:59,172.02,4.761904762,8.601,7.9
239-36-3640,B,45.35,6,285.705,1/31/2019,13:44,272.1,4.761904762,13.605,6.1
468-01-2051,B,62.08,7,456.288,3/6/2019,13:46,434.56,4.761904762,21.728,5.4
389-25-3394,C,11.81,5,62.0025,2/17/2019,18:06,59.05,4.761904762,2.9525,9.4
279-62-1445,C,12.54,1,13.167,2/21/2019,12:38,12.54,4.761904762,0.627,8.2
213-72-6612,A,43.25,2,90.825,3/20/2019,15:56,86.5,4.761904762,4.325,6.2
746-68-6593,C,87.16,2,183.036,1/11/2019,14:29,174.32,4.761904762,8.716,9.7
836-82-5858,B,69.37,9,655.5465,1/26/2019,19:14,624.33,4.761904762,31.2165,4
583-72-1480,C,37.06,4,155.652,1/31/2019,16:24,148.24,4.761904762,7.412,9.7
466-61-5506,B,90.7,6,571.41,2/26/2019,10:52,544.2,4.761904762,27.21,5.3
721-86-6247,A,63.42,8,532.728,3/11/2019,12:55,507.36,4.761904762,25.368,7.4
289-65-5721,B,81.37,2,170.877,1/26/2019,19:28,162.74,4.761904762,8.137,6.5
545-46-3100,B,10.59,3,33.3585,3/12/2019,13:52,31.77,4.761904762,1.5885,8.7
418-02-5978,B,84.09,9,794.6505,2/11/2019,10:54,756.81,4.761904762,37.8405,8
269-04-5750,B,73.82,4,310.044,2/21/2019,18:31,295.28,4.761904762,14.764,6.7
157-13-5295,A,51.94,10,545.37,3/9/2019,18:24,519.4,4.761904762,25.97,6.5
645-78-8093,A,93.14,2,195.594,1/20/2019,18:09,186.28,4.761904762,9.314,4.1
211-30-9270,C,17.41,5,91.4025,1/28/2019,15:16,87.05,4.761904762,4.3525,4.9
755-12-3214,C,44.22,5,232.155,3/5/2019,17:07,221.1,4.761904762,11.055,8.6
346-84-3103,B,13.22,5,69.405,3/2/2019,19:26,66.1,4.761904762,3.305,4.3
478-06-7835,A,89.69,1,94.1745,1/11/2019,11:20,89.69,4.761904762,4.4845,4.9
540-11-4336,A,24.94,9,235.683,1/11/2019,16:49,224.46,4.761904762,11.223,5.6
448-81-5016,A,59.77,2,125.517,3/11/2019,12:01,119.54,4.761904762,5.977,5.8
142-72-4741,C,93.2,2,195.72,2/28/2019,18:37,186.4,4.761904762,9.32,6
217-58-1179,A,62.65,4,263.13,1/5/2019,11:25,250.6,4.761904762,12.53,4.2
376-02-8238,B,93.87,8,788.508,2/2/2019,18:42,750.96,4.761904762,37.548,8.3
530-90-9855,A,47.59,8,399.756,1/1/2019,14:47,380.72,4.761904762,19.036,5.7
866-05-7563,B,81.4,3,256.41,2/9/2019,19:43,244.2,4.761904762,12.21,4.8
604-70-6476,A,17.94,5,94.185,1/23/2019,14:04,89.7,4.761904762,4.485,6.8
799-71-1548,A,77.72,4,326.424,1/7/2019,16:11,310.88,4.761904762,15.544,8.8
785-13-7708,B,73.06,7,536.991,1/14/2019,19:06,511.42,4.761904762,25.571,4.2
845-51-0542,B,46.55,9,439.8975,2/2/2019,15:34,418.95,4.761904762,20.9475,6.4
662-47-5456,C,35.19,10,369.495,3/17/2019,19:06,351.9,4.761904762,17.595,8.4
883-17-4236,C,14.39,2,30.219,3/2/2019,19:44,28.78,4.761904762,1.439,7.2
290-68-2984,A,23.75,4,99.75,3/16/2019,11:22,95,4.761904762,4.75,5.2
704-11-6354,A,58.9,8,494.76,1/6/2019,11:23,471.2,4.761904762,23.56,8.9
110-48-7033,B,32.62,4,137.004,1/29/2019,14:12,130.48,4.761904762,6.524,9
366-93-0948,A,66.35,1,69.6675,1/31/2019,10:46,66.35,4.761904762,3.3175,9.7
729-09-9681,A,25.91,6,163.233,2/5/2019,10:16,155.46,4.761904762,7.773,8.7
151-16-1484,A,32.25,4,135.45,2/13/2019,12:38,129,4.761904762,6.45,6.5
380-94-4661,C,65.94,4,276.948,2/7/2019,13:05,263.76,4.761904762,13.188,6.9
850-41-9669,A,75.06,9,709.317,3/19/2019,13:25,675.54,4.761904762,33.777,6.2
821-07-3596,C,16.45,4,69.09,3/7/2019,14:53,65.8,4.761904762,3.29,5.6
655-85-5130,B,38.3,4,160.86,3/13/2019,19:22,153.2,4.761904762,7.66,5.7
447-15-7839,A,22.24,10,233.52,2/9/2019,11:00,222.4,4.761904762,11.12,4.2
154-74-7179,B,54.45,1,57.1725,2/26/2019,19:24,54.45,4.761904762,2.7225,7.9
253-12-6086,A,98.4,7,723.24,3/12/2019,12:43,688.8,4.761904762,34.44,8.7
808-65-0703,C,35.47,4,148.974,3/14/2019,17:22,141.88,4.761904762,7.094,6.9
571-94-0759,B,74.6,10,783.3,1/8/2019,20:55,746,4.761904762,37.3,9.5
144-51-6085,A,70.74,4,297.108,1/5/2019,16:05,282.96,4.761904762,14.148,4.4
731-14-2199,A,35.54,10,373.17,1/4/2019,13:34,355.4,4.761904762,17.77,7
783-09-1637,B,67.43,5,354.0075,3/6/2019,18:13,337.15,4.761904762,16.8575,6.3
687-15-1097,C,21.12,2,44.352,1/3/2019,19:17,42.24,4.761904762,2.112,9.7
126-54-1082,A,21.54,9,203.553,1/7/2019,11:44,193.86,4.761904762,9.693,8.8
633-91-1052,A,12.03,2,25.263,1/27/2019,15:51,24.06,4.761904762,1.203,5.1
477-24-6490,B,99.71,6,628.173,2/26/2019,16:52,598.26,4.761904762,29.913,7.9
566-19-5475,B,47.97,7,352.5795,1/7/2019,20:52,335.79,4.761904762,16.7895,6.2
526-86-8552,C,21.82,10,229.11,1/7/2019,17:36,218.2,4.761904762,10.91,7.1
376-56-3573,C,95.42,4,400.764,2/2/2019,13:23,381.68,4.761904762,19.084,6.4
537-72-0426,C,70.99,10,745.395,3/20/2019,16:28,709.9,4.761904762,35.495,5.7
828-61-5674,A,44.02,10,462.21,3/20/2019,19:57,440.2,4.761904762,22.01,9.6
136-08-6195,A,69.96,8,587.664,2/15/2019,17:01,559.68,4.761904762,27.984,6.4
523-38-0215,C,37,1,38.85,3/6/2019,13:29,37,4.761904762,1.85,7.9
490-29-1201,A,15.34,1,16.107,1/6/2019,11:09,15.34,4.761904762,0.767,6.5
667-92-0055,A,99.83,6,628.929,3/4/2019,15:02,598.98,4.761904762,29.949,8.5
565-17-3836,A,47.67,4,200.214,3/12/2019,14:21,190.68,4.761904762,9.534,9.1
498-41-1961,B,66.68,5,350.07,2/20/2019,18:01,333.4,4.761904762,16.67,7.6
593-95-4461,C,74.86,1,78.603,3/24/2019,14:49,74.86,4.761904762,3.743,6.9
226-71-3580,C,23.75,9,224.4375,1/31/2019,12:02,213.75,4.761904762,10.6875,9.5
