"Invoice ID",City,"Customer type",Gender,"Product line",Payment
638-60-7125,Yangon,Normal,Female,"Electronic accessories","Credit card"
659-36-1684,Naypyitaw,Member,Male,"Sports and travel","Credit card"
219-22-9386,Mandalay,Member,Male,"Sports and travel","Credit card"
336-78-2147,Naypyitaw,Member,Male,"Home and lifestyle","Credit card"
268-27-6179,Mandalay,Member,Female,"Fashion accessories",Ewallet
668-90-8900,Yangon,Normal,Female,"Home and lifestyle","Credit card"
870-54-3162,Yangon,Normal,Female,"Sports and travel",Cash
189-08-9157,Naypyitaw,Normal,Female,"Fashion accessories","Credit card"
663-86-9076,Naypyitaw,Member,Female,"Food and beverages",Ewallet
549-84-7482,Mandalay,Normal,Female,"Sports and travel",Ewallet
191-10-6171,Mandalay,Normal,Female,"Fashion accessories",Cash
802-70-5316,Yangon,Member,Female,"Sports and travel",Cash
695-51-0018,Mandalay,Normal,Female,"Sports and travel",Cash
590-83-4591,Mandalay,Member,Male,"Electronic accessories","Credit card"
483-71-1164,Naypyitaw,Normal,Female,"Health and beauty",Ewallet
597-78-7908,Naypyitaw,Normal,Male,"Fashion accessories",Cash
700-81-1757,Yangon,Normal,Female,"Electronic accessories","Credit card"
354-39-5160,Yangon,Member,Female,"Home and lifestyle",Cash
241-72-9525,Mandalay,Normal,Male,"Sports and travel",Cash
575-30-8091,Yangon,Normal,Male,"Sports and travel",Ewallet
731-81-9469,Naypyitaw,Member,Female,"Sports and travel","Credit card"
280-17-4359,Naypyitaw,Member,Male,"Health and beauty",Cash
338-65-2210,Naypyitaw,Member,Female,"Health and beauty",Cash
488-25-4221,Naypyitaw,Member,Female,"Food and beverages","Credit card"
239-10-7476,Yangon,Normal,Female,"Home and lifestyle",Ewallet
458-41-1477,Naypyitaw,Normal,Female,"Health and beauty","Credit card"
685-64-1609,Yangon,Member,Female,"Fashion accessories",Ewallet
568-90-5112,Naypyitaw,Normal,Male,"Health and beauty","Credit card"
262-47-2794,Mandalay,Member,Male,"Home and lifestyle","Credit card"
238-49-0436,Yangon,Normal,Male,"Health and beauty","Credit card"
608-96-3517,Mandalay,Member,Female,"Fashion accessories","Credit card"
584-86-7256,Naypyitaw,Member,Male,"Sports and travel","Credit card"
746-94-0204,Yangon,Normal,Male,"Fashion accessories","Credit card"
214-17-6927,Naypyitaw,Normal,Female,"Food and beverages",Ewallet
400-89-4171,Naypyitaw,Normal,Female,"Sports and travel",Cash
782-95-9291,Yangon,Member,Male,"Food and beverages","Credit card"
279-74-2924,Mandalay,Member,Male,"Electronic accessories",Cash
307-85-2293,Mandalay,Normal,Male,"Home and lifestyle",Ewallet
743-04-1105,Mandalay,Member,Male,"Health and beauty",Ewallet
423-57-2993,Mandalay,Normal,Male,"Sports and travel",Ewallet
894-41-5205,Naypyitaw,Normal,Female,"Food and beverages","Credit card"
275-28-0149,Yangon,Normal,Male,"Sports and travel",Cash
101-17-6199,Yangon,Normal,Male,"Food and beverages","Credit card"
423-80-0988,Naypyitaw,Normal,Male,"Sports and travel",Ewallet
548-46-9322,Mandalay,Normal,Male,"Food and beverages","Credit card"
505-02-0892,Mandalay,Member,Male,"Health and beauty",Ewallet
234-65-2137,Naypyitaw,Normal,Male,"Home and lifestyle",Cash
687-47-8271,Yangon,Normal,Male,"Fashion accessories","Credit card"
796-32-9050,Yangon,Normal,Male,"Food and beverages",Cash
105-31-1824,Yangon,Member,Male,"Sports and travel","Credit card"
249-42-3782,Yangon,Normal,Male,"Health and beauty",Ewallet
316-55-4634,Mandalay,Member,Male,"Food and beverages","Credit card"
733-33-4967,Naypyitaw,Normal,Male,"Electronic accessories",Cash
608-27-6295,Mandalay,Member,Male,"Electronic accessories","Credit card"
414-12-7047,Mandalay,Normal,Male,"Food and beverages",Ewallet
827-26-2100,Yangon,Member,Male,"Home and lifestyle",Ewallet
175-54-2529,Yangon,Member,Male,"Food and beverages","Credit card"
139-52-2867,Naypyitaw,Normal,Female,"Fashion accessories","Credit card"
407-63-8975,Yangon,Normal,Male,"Food and beverages",Ewallet
342-65-4817,Naypyitaw,Member,Male,"Health and beauty",Ewallet
130-98-8941,Naypyitaw,Normal,Male,"Fashion accessories",Cash
434-83-9547,Naypyitaw,Member,Male,"Food and beverages",Cash
851-28-6367,Yangon,Member,Male,"Sports and travel",Ewallet
824-88-3614,Naypyitaw,Normal,Male,"Health and beauty",Ewallet
586-25-0848,Yangon,Normal,Female,"Sports and travel","Credit card"
895-66-0685,Mandalay,Member,Male,"Food and beverages",Ewallet
305-14-0245,Mandalay,Member,Female,"Home and lifestyle",Ewallet
732-04-5373,Mandalay,Member,Male,"Home and lifestyle",Cash
400-60-7251,Yangon,Normal,Male,"Home and lifestyle",Ewallet
593-65-1552,Naypyitaw,Normal,Female,"Home and lifestyle","Credit card"
284-34-9626,Mandalay,Normal,Female,"Home and lifestyle","Credit card"
437-58-8131,Mandalay,Normal,Female,"Fashion accessories",Ewallet
286-43-6208,Naypyitaw,Normal,Female,"Food and beverages",Cash
641-43-2399,Mandalay,Normal,Male,"Home and lifestyle",Ewallet
831-07-6050,Yangon,Normal,Male,"Electronic accessories","Credit card"
556-86-3144,Naypyitaw,Member,Female,"Fashion accessories",Cash
848-24-9445,Naypyitaw,Member,Male,"Health and beauty",Cash
856-22-8149,Yangon,Normal,Female,"Home and lifestyle",Ewallet
699-01-4164,Naypyitaw,Normal,Male,"Health and beauty","Credit card"
420-11-4919,Naypyitaw,Member,Female,"Food and beverages","Credit card"
606-80-4905,Naypyitaw,Member,Female,"Sports and travel","Credit card"
542-41-0513,Mandalay,Member,Female,"Electronic accessories",Cash
426-39-2418,Naypyitaw,Normal,Male,"Electronic accessories",Cash
875-46-5808,Mandalay,Member,Male,"Health and beauty",Ewallet
394-43-4238,Mandalay,Member,Male,"Home and lifestyle","Credit card"
749-24-1565,Yangon,Normal,Female,"Health and beauty",Ewallet
672-51-8681,Naypyitaw,Member,Female,"Electronic accessories","Credit card"
263-87-5680,Naypyitaw,Member,Female,"Home and lifestyle",Ewallet
573-58-9734,Mandalay,Normal,Female,"Fashion accessories",Ewallet
817-69-8206,Mandalay,Normal,Female,"Electronic accessories","Credit card"
888-02-0338,Yangon,Normal,Male,"Electronic accessories",Ewallet
677-11-0152,Naypyitaw,Normal,Female,"Food and beverages",Cash
142-63-6033,Mandalay,Normal,Male,"Home and lifestyle",Ewallet
656-16-1063,Mandalay,Normal,Male,"Sports and travel","Credit card"
891-58-8335,Mandalay,Member,Female,"Sports and travel",Cash
802-43-8934,Yangon,Normal,Male,"Home and lifestyle","Credit card"
560-30-5617,Mandalay,Normal,Female,"Sports and travel",Cash
319-74-2561,Yangon,Member,Female,"Electronic accessories",Cash
549-03-9315,Mandalay,Normal,Male,"Fashion accessories",Ewallet
790-29-1172,Mandalay,Normal,Female,"Food and beverages","Credit card"
239-36-3640,Mandalay,Normal,Male,"Electronic accessories",Ewallet
468-01-2051,Mandalay,Normal,Male,"Food and beverages",Ewallet
389-25-3394,Naypyitaw,Normal,Male,"Electronic accessories",Cash
279-62-1445,Naypyitaw,Member,Female,"Fashion accessories",Cash
213-72-6612,Yangon,Normal,Male,"Food and beverages",Cash
746-68-6593,Naypyitaw,Member,Female,"Sports and travel","Credit card"
836-82-5858,Mandalay,Member,Male,"Health and beauty",Ewallet
583-72-1480,Naypyitaw,Member,Male,"Electronic accessories",Ewallet
466-61-5506,Mandalay,Member,Female,"Electronic accessories",Cash
721-86-6247,Yangon,Normal,Female,"Home and lifestyle",Ewallet
289-65-5721,Mandalay,Normal,Female,"Fashion accessories",Cash
545-46-3100,Mandalay,Member,Female,"Electronic accessories","Credit card"
418-02-5978,Mandalay,Normal,Female,"Health and beauty",Cash
269-04-5750,Mandalay,Member,Male,"Fashion accessories",Cash
157-13-5295,Yangon,Member,Male,"Health and beauty",Ewallet
645-78-8093,Yangon,Normal,Female,"Sports and travel",Ewallet
211-30-9270,Naypyitaw,Normal,Male,"Health and beauty","Credit card"
755-12-3214,Naypyitaw,Member,Female,"Fashion accessories","Credit card"
346-84-3103,Mandalay,Member,Female,"Electronic accessories",Cash
478-06-7835,Yangon,Normal,Male,"Fashion accessories",Ewallet
540-11-4336,Yangon,Normal,Male,"Food and beverages","Credit card"
448-81-5016,Yangon,Normal,Male,"Health and beauty","Credit card"
142-72-4741,Naypyitaw,Member,Male,"Fashion accessories","Credit card"
217-58-1179,Yangon,Member,Male,"Home and lifestyle",Cash
376-02-8238,Mandalay,Normal,Male,"Home and lifestyle","Credit card"
530-90-9855,Yangon,Member,Male,"Home and lifestyle",Cash
866-05-7563,Mandalay,Member,Female,"Electronic accessories",Cash
604-70-6476,Yangon,Member,Male,"Fashion accessories",Ewallet
799-71-1548,Yangon,Member,Male,"Electronic accessories","Credit card"
785-13-7708,Mandalay,Normal,Male,"Food and beverages","Credit card"
845-51-0542,Mandalay,Member,Male,"Food and beverages",Ewallet
662-47-5456,Naypyitaw,Member,Male,"Fashion accessories","Credit card"
883-17-4236,Naypyitaw,Normal,Female,"Sports and travel","Credit card"
290-68-2984,Yangon,Normal,Male,"Home and lifestyle",Cash
704-11-6354,Yangon,Member,Male,"Home and lifestyle",Cash
110-48-7033,Mandalay,Member,Male,"Fashion accessories",Cash
366-93-0948,Yangon,Member,Male,"Electronic accessories","Credit card"
729-09-9681,Yangon,Member,Male,"Home and lifestyle",Ewallet
151-16-1484,Yangon,Member,Male,"Electronic accessories",Ewallet
380-94-4661,Naypyitaw,Member,Male,"Electronic accessories","Credit card"
850-41-9669,Yangon,Normal,Female,"Electronic accessories",Ewallet
821-07-3596,Naypyitaw,Normal,Female,"Fashion accessories",Ewallet
655-85-5130,Mandalay,Member,Female,"Fashion accessories",Cash
447-15-7839,Yangon,Member,Female,"Sports and travel",Cash
154-74-7179,Mandalay,Normal,Male,"Sports and travel",Ewallet
253-12-6086,Yangon,Member,Female,"Sports and travel","Credit card"
808-65-0703,Naypyitaw,Normal,Male,"Home and lifestyle","Credit card"
571-94-0759,Mandalay,Member,Female,"Food and beverages",Cash
144-51-6085,Yangon,Member,Male,"Home and lifestyle","Credit card"
731-14-2199,Yangon,Member,Female,"Home and lifestyle",Ewallet
783-09-1637,Mandalay,Normal,Female,"Sports and travel",Ewallet
687-15-1097,Naypyitaw,Member,Female,"Health and beauty",Cash
126-54-1082,Yangon,Member,Female,"Home and lifestyle","Credit card"
633-91-1052,Yangon,Normal,Female,"Home and lifestyle",Cash
477-24-6490,Mandalay,Normal,Female,"Health and beauty",Ewallet
566-19-5475,Mandalay,Normal,Male,"Fashion accessories",Cash
526-86-8552,Naypyitaw,Member,Female,"Home and lifestyle",Cash
376-56-3573,Naypyitaw,Normal,Female,"Fashion accessories",Ewallet
537-72-0426,Naypyitaw,Member,Male,"Fashion accessories",Cash
828-61-5674,Yangon,Member,Male,"Sports and travel","Credit card"
136-08-6195,Yangon,Normal,Female,"Home and lifestyle","Credit card"
523-38-0215,Naypyitaw,Normal,Male,"Home and lifestyle","Credit card"
490-29-1201,Yangon,Normal,Female,"Sports and travel",Cash
667-92-0055,Yangon,Member,Male,"Health and beauty",Ewallet
565-17-3836,Yangon,Member,Female,"Health and beauty",Cash
498-41-1961,Mandalay,Normal,Male,"Health and beauty",Cash
593-95-4461,Naypyitaw,Member,Male,"Home and lifestyle",Cash
226-71-3580,Naypyitaw,Normal,Female,"Sports and travel",Cash
283-79-9594,Mandalay,Normal,Female,"Food and beverages","Credit card"
430-60-3493,Yangon,Member,Female,"Home and lifestyle",Cash
139-20-0155,Mandalay,Member,Male,"Electronic accessories","Credit card"
558-80-4082,Naypyitaw,Normal,Male,"Electronic accessories",Ewallet
278-97-7759,Yangon,Member,Female,"Electronic accessories",Cash
316-68-6352,Yangon,Member,Female,"Food and beverages",Cash
585-03-5943,Mandalay,Normal,Male,"Health and beauty",Ewallet
211-05-0490,Naypyitaw,Member,Female,"Electronic accessories",Cash
727-75-6477,Naypyitaw,Normal,Male,"Electronic accessories",Cash
744-02-5987,Yangon,Member,Male,"Home and lifestyle",Ewallet
307-83-9164,Yangon,Member,Male,"Home and lifestyle",Cash
779-06-0012,Naypyitaw,Member,Female,"Home and lifestyle",Cash
446-47-6729,Naypyitaw,Normal,Male,"Fashion accessories","Credit card"
573-10-3877,Mandalay,Member,Male,"Health and beauty","Credit card"
735-06-4124,Naypyitaw,Normal,Male,"Food and beverages",Cash
439-54-7422,Yangon,Normal,Female,"Electronic accessories","Credit card"
396-90-2219,Mandalay,Normal,Female,"Electronic accessories",Cash
411-77-0180,Yangon,Member,Male,"Electronic accessories",Ewallet
286-01-5402,Yangon,Normal,Female,"Sports and travel",Cash
803-17-8013,Yangon,Member,Female,"Home and lifestyle",Cash
512-98-1403,Yangon,Member,Female,"Electronic accessories",Ewallet
848-42-2560,Yangon,Normal,Female,"Fashion accessories",Cash
532-59-7201,Mandalay,Member,Male,"Sports and travel",Cash
181-94-6432,Naypyitaw,Member,Male,"Fashion accessories",Ewallet
870-76-1733,Yangon,Member,Female,"Food and beverages","Credit card"
423-64-4619,Yangon,Member,Female,"Health and beauty",Cash
227-07-4446,Naypyitaw,Member,Female,"Electronic accessories",Cash
174-36-3675,Naypyitaw,Member,Male,"Food and beverages",Cash
428-83-5800,Naypyitaw,Member,Female,"Food and beverages",Cash
603-07-0961,Naypyitaw,Member,Male,"Electronic accessories",Cash
704-20-4138,Naypyitaw,Member,Female,"Health and beauty","Credit card"
787-15-1757,Naypyitaw,Member,Male,"Health and beauty",Ewallet
649-11-3678,Naypyitaw,Normal,Female,"Food and beverages",Cash
622-20-1945,Naypyitaw,Normal,Female,"Health and beauty",Cash
372-94-8041,Yangon,Normal,Male,"Health and beauty",Ewallet
563-91-7120,Yangon,Normal,Female,"Fashion accessories",Cash
746-54-5508,Yangon,Normal,Male,"Home and lifestyle","Credit card"
276-54-0879,Mandalay,Normal,Male,"Sports and travel",Ewallet
815-11-1168,Yangon,Member,Male,"Food and beverages",Cash
719-76-3868,Naypyitaw,Member,Male,"Food and beverages",Cash
730-61-8757,Mandalay,Member,Male,"Health and beauty","Credit card"
340-66-0321,Yangon,Member,Male,"Electronic accessories",Cash
868-81-1752,Mandalay,Normal,Male,"Home and lifestyle",Cash
634-97-8956,Yangon,Normal,Male,"Food and beverages","Credit card"
566-71-1091,Yangon,Normal,Male,"Fashion accessories",Cash
442-48-3607,Yangon,Member,Male,"Food and beverages","Credit card"
835-16-0096,Naypyitaw,Member,Male,"Sports and travel",Ewallet
527-09-6272,Yangon,Member,Female,"Electronic accessories","Credit card"
898-04-2717,Yangon,Normal,Male,"Fashion accessories",Ewallet
692-27-8933,Mandalay,Normal,Female,"Sports and travel",Cash
633-09-3463,Naypyitaw,Normal,Female,"Electronic accessories","Credit card"
374-17-3652,Mandalay,Member,Female,"Food and beverages","Credit card"
378-07-7001,Mandalay,Member,Male,"Electronic accessories","Credit card"
433-75-6987,Mandalay,Member,Female,"Health and beauty",Ewallet
873-95-4984,Mandalay,Member,Female,"Health and beauty",Cash
416-13-5917,Naypyitaw,Normal,Female,"Food and beverages",Ewallet
150-89-8043,Yangon,Normal,Male,"Sports and travel",Cash
135-84-8019,Yangon,Normal,Female,"Fashion accessories",Ewallet
441-94-7118,Yangon,Member,Male,"Electronic accessories",Cash
725-96-3778,Naypyitaw,Member,Female,"Home and lifestyle",Cash
531-80-1784,Yangon,Normal,Male,"Electronic accessories",Cash
400-45-1220,Mandalay,Normal,Female,"Health and beauty","Credit card"
860-79-0874,Naypyitaw,Member,Female,"Fashion accessories","Credit card"
834-61-8124,Yangon,Normal,Male,"Electronic accessories",Cash
115-99-4379,Mandalay,Member,Female,"Fashion accessories","Credit card"
565-67-6697,Mandalay,Member,Male,"Home and lifestyle",Cash
320-49-6392,Naypyitaw,Normal,Female,"Electronic accessories",Cash
889-04-9723,Mandalay,Member,Female,"Food and beverages","Credit card"
632-90-0281,Naypyitaw,Normal,Female,"Fashion accessories","Credit card"
554-42-2417,Naypyitaw,Normal,Female,"Sports and travel",Cash
453-63-6187,Mandalay,Normal,Male,"Electronic accessories",Ewallet
578-80-7669,Mandalay,Normal,Male,"Sports and travel",Cash
612-36-5536,Yangon,Member,Male,"Food and beverages","Credit card"
605-72-4132,Naypyitaw,Normal,Female,"Food and beverages",Cash
471-41-2823,Naypyitaw,Normal,Male,"Food and beverages",Ewallet
462-67-9126,Yangon,Normal,Male,"Home and lifestyle",Cash
272-27-9238,Naypyitaw,Normal,Female,"Food and beverages",Cash
834-25-9262,Naypyitaw,Normal,Female,"Fashion accessories",Cash
122-61-9553,Naypyitaw,Normal,Female,"Electronic accessories",Cash
468-88-0009,Yangon,Member,Male,"Home and lifestyle",Cash
613-59-9758,Naypyitaw,Normal,Female,"Sports and travel",Cash
254-31-0042,Yangon,Member,Male,"Electronic accessories","Credit card"
201-86-2184,Mandalay,Member,Female,"Electronic accessories",Cash
261-12-8671,Mandalay,Normal,Female,"Fashion accessories","Credit card"
730-70-9830,Naypyitaw,Normal,Female,"Home and lifestyle",Ewallet
382-25-8917,Naypyitaw,Normal,Male,"Fashion accessories",Cash
422-29-8786,Yangon,Normal,Female,"Home and lifestyle","Credit card"
667-23-5919,Yangon,Member,Female,"Fashion accessories",Ewallet
843-01-4703,Mandalay,Member,Female,"Home and lifestyle","Credit card"
743-88-1662,Naypyitaw,Normal,Male,"Sports and travel",Ewallet
595-86-2894,Naypyitaw,Member,Male,"Fashion accessories",Ewallet
182-69-8360,Mandalay,Normal,Female,"Electronic accessories","Credit card"
289-15-7034,Yangon,Member,Male,"Sports and travel","Credit card"
462-78-5240,Naypyitaw,Normal,Female,"Electronic accessories",Cash
868-52-7573,Mandalay,Normal,Female,"Food and beverages",Cash
153-58-4872,Naypyitaw,Member,Female,"Food and beverages",Ewallet
662-72-2873,Yangon,Normal,Female,"Food and beverages",Ewallet
525-88-7307,Mandalay,Member,Male,"Sports and travel",Cash
689-16-9784,Naypyitaw,Normal,Male,"Food and beverages",Cash
725-56-0833,Yangon,Normal,Female,"Health and beauty","Credit card"
394-41-0748,Naypyitaw,Member,Female,"Fashion accessories",Ewallet
596-42-3999,Mandalay,Normal,Male,"Food and beverages","Credit card"
541-89-9860,Naypyitaw,Member,Female,"Fashion accessories",Cash
173-82-9529,Mandalay,Normal,Female,"Fashion accessories",Cash
563-36-9814,Yangon,Member,Male,"Electronic accessories",Ewallet
308-47-4913,Yangon,Member,Female,"Sports and travel","Credit card"
885-17-6250,Yangon,Normal,Female,"Health and beauty",Ewallet
726-27-2396,Yangon,Normal,Female,"Health and beauty",Ewallet
316-01-3952,Yangon,Normal,Female,"Food and beverages",Ewallet
760-54-1821,Mandalay,Normal,Male,"Home and lifestyle",Cash
793-10-3222,Mandalay,Member,Female,"Health and beauty","Credit card"
346-12-3257,Mandalay,Member,Male,"Electronic accessories",Cash
110-05-6330,Naypyitaw,Normal,Female,"Food and beverages","Credit card"
651-61-0874,Naypyitaw,Normal,Male,"Home and lifestyle","Credit card"
236-86-3015,Naypyitaw,Member,Male,"Home and lifestyle",Ewallet
831-64-0259,Mandalay,Normal,Female,"Fashion accessories",Ewallet
587-03-7455,Naypyitaw,Member,Female,"Fashion accessories",Ewallet
882-40-4577,Yangon,Member,Male,"Sports and travel","Credit card"
732-67-5346,Yangon,Normal,Male,"Food and beverages","Credit card"
725-32-9708,Mandalay,Member,Female,"Fashion accessories",Cash
256-08-8343,Yangon,Normal,Female,"Home and lifestyle",Ewallet
372-26-1506,Naypyitaw,Normal,Female,"Fashion accessories",Ewallet
244-08-0162,Mandalay,Normal,Female,"Health and beauty",Cash
569-71-4390,Mandalay,Normal,Male,"Sports and travel",Ewallet
